Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,8679,La historia se desarrolla durante los eventos de la tercera temporada, justo antes de que los protagonistas tomen el examen para obtener sus licencias provisionales de héroes. En esta nueva aventura original, algunos estudiantes de la Clase 1-A son enviados a perfeccionar sus habilidades de supervivencia en un curso de capacitación. Todavía teniendo que recibir sus licencias provisionales, los chicos están ansiosos por soltarse y divertirse un poco. ¡Pero rápidamente descubren que el peligro que enfrentan no es un entrenamiento! Tendrán que trabajar en equipo y pensar de forma rápida si es que quieren aprobar esta prueba.
Boku no Hero Academia,73742,Las personas no nacen igual. El protagonista de esta historia es uno de esos casos raros que nacen sin superpoderes, pero esto no le impedirá perseguir su sueño: ser un gran héroe como el legendario All-Might. Para convertirse en el héroe que quiere ser, se apuntará a una de las academias de héroes más prestigiosas del país: Yueiko. Con la ayuda de su ídolo, All-Might, ¿podrá convertirse en un verdadero héroe?
Boku no Hero Academia (ONA),2447,
Boku no Hero Academia 2nd Season,61163,Segunda temporada de Boku no Hero Academia.
Fate/strange Fake,1335,Una nueva Guerra del Santo Grial se prepara en un pequeño y nuevo país pese a la oposición de los magos, pero es una Guerra del Santo Grial falsa, artificial, cuyo objetivo escapa a los miembros de la Torre del Reloj.
Fate/kaleid liner Prisma Illya,4227,Spin-off de Fate/stay night. Esta vez Illya es la protagonista, teniendo una vida alternativa como una estudiante normal. Sin embargo, es elegida por Kaleidostick Rubí para ser una majou shoujo y se ve envuelta en una pelea entre Rin (Kaleido Rubí) y Luvia (Kaleido Zafiro).
Fate/stay night Movie: Heaven's Feel,5828,El Santo Grial, un artefacto que puede cumplir cualquier deseo, es otorgado al ganador de una batalla conocida como la Guerra del Santo Grial. En esta feroz batalla los Maestros (Magos) y Sirvientes (Héroes de la mitología y leyendas) pelearán a muerte. La anterior guerra destruyó una ciudad y a todos sus habitantes. 10 años después la nueva Guerra por el Santo Grial está por comenzar...
Boku no Hero Academia (ONA),2447,
Boku no Hero Academia,73744,Las personas no nacen igual. El protagonista de esta historia es uno de esos casos raros que nacen sin superpoderes, pero esto no le impedirá perseguir su sueño: ser un gran héroe como el legendario All-Might. Para convertirse en el héroe que quiere ser, se apuntará a una de las academias de héroes más prestigiosas del país: Yueiko. Con la ayuda de su ídolo, All-Might, ¿podrá convertirse en un verdadero héroe?
Boku no Hero Academia 2nd Season,61164,Segunda temporada de Boku no Hero Academia.
